"","RegionName","BedroomCnt","State","City","CountyName","Price","Year","Month","date","station_open","zip_in_2014","zip_in_2022"
"7552",20024,2,"DC","Washington","District of Columbia",331802.0706746,2012,3,"2012-03-01",1,0,0
"7553",20024,2,"DC","Washington","District of Columbia",329270.206556001,2012,4,"2012-04-01",1,0,0
"7554",20024,2,"DC","Washington","District of Columbia",328055.107255824,2012,5,"2012-05-01",1,0,0
"7555",20024,2,"DC","Washington","District of Columbia",328970.028295695,2012,6,"2012-06-01",1,0,0
"7556",20024,2,"DC","Washington","District of Columbia",330791.651044522,2012,7,"2012-07-01",1,0,0
"7557",20024,2,"DC","Washington","District of Columbia",332959.784275884,2012,8,"2012-08-01",1,0,0
"7558",20024,2,"DC","Washington","District of Columbia",336529.746976401,2012,9,"2012-09-01",1,0,0
"7559",20024,2,"DC","Washington","District of Columbia",340715.27761854,2012,10,"2012-10-01",1,0,0
"7560",20024,2,"DC","Washington","District of Columbia",345617.223593119,2012,11,"2012-11-01",1,0,0
"7561",20024,2,"DC","Washington","District of Columbia",348590.546968926,2012,12,"2012-12-01",1,0,0
"7562",20024,2,"DC","Washington","District of Columbia",350614.142967321,2013,1,"2013-01-01",1,0,0
"7563",20024,2,"DC","Washington","District of Columbia",352296.648135845,2013,2,"2013-02-01",1,0,0
"7564",20024,2,"DC","Washington","District of Columbia",353720.164995683,2013,3,"2013-03-01",1,0,0
"7565",20024,2,"DC","Washington","District of Columbia",355528.962807238,2013,4,"2013-04-01",1,0,0
"7566",20024,2,"DC","Washington","District of Columbia",357964.969279874,2013,5,"2013-05-01",1,0,0
"7567",20024,2,"DC","Washington","District of Columbia",361684.598738922,2013,6,"2013-06-01",1,0,0
"7568",20024,2,"DC","Washington","District of Columbia",365587.971214022,2013,7,"2013-07-01",1,0,0
"7569",20024,2,"DC","Washington","District of Columbia",368960.041749194,2013,8,"2013-08-01",1,0,0
"7570",20024,2,"DC","Washington","District of Columbia",373090.10141375,2013,9,"2013-09-01",1,0,0
"7571",20024,2,"DC","Washington","District of Columbia",378295.025728836,2013,10,"2013-10-01",1,0,0
"7572",20024,2,"DC","Washington","District of Columbia",383020.867014676,2013,11,"2013-11-01",1,0,0
"7573",20024,2,"DC","Washington","District of Columbia",386001.407000929,2013,12,"2013-12-01",1,0,0
"7574",20024,2,"DC","Washington","District of Columbia",386292.448016176,2014,1,"2014-01-01",1,0,0
"7575",20024,2,"DC","Washington","District of Columbia",386960.826821666,2014,2,"2014-02-01",1,0,0
"7576",20024,2,"DC","Washington","District of Columbia",387896.569970954,2014,3,"2014-03-01",1,0,0
"7577",20024,2,"DC","Washington","District of Columbia",389570.121430031,2014,4,"2014-04-01",1,0,0
"7578",20024,2,"DC","Washington","District of Columbia",391718.637428278,2014,5,"2014-05-01",1,0,0
"7579",20024,2,"DC","Washington","District of Columbia",393658.47229138,2014,6,"2014-06-01",1,0,0
"7580",20024,2,"DC","Washington","District of Columbia",395926.645837829,2014,7,"2014-07-01",1,0,0
"7581",20024,2,"DC","Washington","District of Columbia",397677.898810867,2014,8,"2014-08-01",1,0,0
"7582",20024,2,"DC","Washington","District of Columbia",400123.182235827,2014,9,"2014-09-01",1,0,0
"7583",20024,2,"DC","Washington","District of Columbia",403165.000618352,2014,10,"2014-10-01",1,0,0
"7584",20024,2,"DC","Washington","District of Columbia",406410.715929445,2014,11,"2014-11-01",1,0,0
"7585",20024,2,"DC","Washington","District of Columbia",409535.888256047,2014,12,"2014-12-01",1,0,0
"7586",20024,2,"DC","Washington","District of Columbia",410846.206913225,2015,1,"2015-01-01",1,0,0
"7587",20024,2,"DC","Washington","District of Columbia",411339.025525575,2015,2,"2015-02-01",1,0,0
"7588",20024,2,"DC","Washington","District of Columbia",411626.283634297,2015,3,"2015-03-01",1,0,0
"7589",20024,2,"DC","Washington","District of Columbia",413897.117513516,2015,4,"2015-04-01",1,0,0
"7590",20024,2,"DC","Washington","District of Columbia",416546.907129946,2015,5,"2015-05-01",1,0,0
"7591",20024,2,"DC","Washington","District of Columbia",418993.902891269,2015,6,"2015-06-01",1,0,0
"7592",20024,2,"DC","Washington","District of Columbia",421751.776175469,2015,7,"2015-07-01",1,0,0
"7593",20024,2,"DC","Washington","District of Columbia",425274.016920702,2015,8,"2015-08-01",1,0,0
"7594",20024,2,"DC","Washington","District of Columbia",430080.953269086,2015,9,"2015-09-01",1,0,0
"7595",20024,2,"DC","Washington","District of Columbia",435536.296279939,2015,10,"2015-10-01",1,0,0
"7596",20024,2,"DC","Washington","District of Columbia",440980.395326264,2015,11,"2015-11-01",1,0,0
"7597",20024,2,"DC","Washington","District of Columbia",445091.51380643,2015,12,"2015-12-01",1,0,0
"7598",20024,2,"DC","Washington","District of Columbia",446268.076417974,2016,1,"2016-01-01",1,0,0
"7599",20024,2,"DC","Washington","District of Columbia",446188.828676315,2016,2,"2016-02-01",1,0,0
"7600",20024,2,"DC","Washington","District of Columbia",446211.045931386,2016,3,"2016-03-01",1,0,0
"7601",20024,2,"DC","Washington","District of Columbia",447606.449960932,2016,4,"2016-04-01",1,0,0
"7602",20024,2,"DC","Washington","District of Columbia",449143.216261753,2016,5,"2016-05-01",1,0,0
"7603",20024,2,"DC","Washington","District of Columbia",450269.480591493,2016,6,"2016-06-01",1,0,0
"7604",20024,2,"DC","Washington","District of Columbia",450889.490898317,2016,7,"2016-07-01",1,0,0
"7605",20024,2,"DC","Washington","District of Columbia",451362.779726241,2016,8,"2016-08-01",1,0,0
"7606",20024,2,"DC","Washington","District of Columbia",452200.534384084,2016,9,"2016-09-01",1,0,0
"7607",20024,2,"DC","Washington","District of Columbia",454086.871785149,2016,10,"2016-10-01",1,0,0
"7608",20024,2,"DC","Washington","District of Columbia",458616.463226913,2016,11,"2016-11-01",1,0,0
"7609",20024,2,"DC","Washington","District of Columbia",464377.158314019,2016,12,"2016-12-01",1,0,0
"7610",20024,2,"DC","Washington","District of Columbia",468124.004555051,2017,1,"2017-01-01",1,0,0
"7611",20024,2,"DC","Washington","District of Columbia",469187.414016889,2017,2,"2017-02-01",1,0,0
"7612",20024,2,"DC","Washington","District of Columbia",468369.253382745,2017,3,"2017-03-01",1,0,0
"7613",20024,2,"DC","Washington","District of Columbia",470651.363308885,2017,4,"2017-04-01",1,0,0
"7614",20024,2,"DC","Washington","District of Columbia",473357.301504546,2017,5,"2017-05-01",1,0,0
"7615",20024,2,"DC","Washington","District of Columbia",477305.894949436,2017,6,"2017-06-01",1,0,0
"7616",20024,2,"DC","Washington","District of Columbia",480263.4243558,2017,7,"2017-07-01",1,0,0
"7617",20024,2,"DC","Washington","District of Columbia",482720.863793218,2017,8,"2017-08-01",1,0,0
"7618",20024,2,"DC","Washington","District of Columbia",485137.359469154,2017,9,"2017-09-01",1,0,0
"7619",20024,2,"DC","Washington","District of Columbia",487017.786443628,2017,10,"2017-10-01",1,0,0
